线路,方向记录,站名,记录平台ID,记录距几何(m),建议平台名,建议平台ID,建议距几何(m),建议平台类型
302A路,302A路(广州火车东站总站--雅居乐总站),林和西路,BV11688381,133,林和西路2,BV09383025,0,普通
从906路,从906路(从化汽车站总站--龙新村委),灌村中学,BV11115207,131,灌村路口,BV11625941,0,普通
夜74路,夜74路(广州火车东站总站--太和总站(沙亭岗村)),太和文化广场,BV09005242,124,太和总站(沙亭岗村),BV10407932,0,总站
6路,6路(天河北公交总站--黄沙总站),广州体院,BV09375062,120,广州体院1,BV09411494,0,普通
985路,985路(太和总站--地铁高增站总站),太和文化广场,BV09005242,119,太和总站1,BV09173927,0,总站
夜86路,夜86路(太和总站--地铁龙归站总站),太和文化广场,BV09005242,119,太和总站1,BV09173927,0,总站
莞615路,莞615路(中堂城轨站--中堂城轨站),中堂路口,BV10262823,117,中堂城轨站,BV11309029,0,普通
南36路,南36路(西樵幼儿园站--东涌湖公交总站),太石工业区站,BV09305166,116,太石公交总站,BV10018468,0,总站
番5路,番5路(大罗村(市广路)--太石工业区总站),太石工业区站,BV09305166,116,太石工业区总站,BV10023383,0,总站
番5路长线,番5路长线(大罗村(市广路)--太石村委),太石工业区,BV09305166,116,太石村委,BV11580706,0,普通
335路,335路(科学城彩频路总站--云埔一路总站),云埔工业区,BV11687962,115,云埔一路(中一药业)总站,BV10991201,0,总站
增城4路,增城4路(横塱村委--康健公司),横塱村,BV10015371,114,横塱村委,BV11289574,0,普通
番5路,番5路(太石工业区总站--大罗村(市广路)站),太石工业区站,BV09305166,113,太石工业区总站,BV10023383,0,总站
广974路,广974路(金沙洲码头总站--山口园路站),金沙洲路站,BV11688450,111,金沙洲码头总站,BV10019002,0,总站
246路,246路(太和(丰泰横路)总站--广州火车东站总站),太和文化广场,BV09005242,105,太和,BV11628196,0,普通
53路,53路(杨桃公园总站--宝岗大道总站),宝岗大道北,BV10016120,105,宝岗大道中,BV10016126,0,普通
973路,973路(太和(丰泰横路)总站--兴丰村总站),太和文化广场,BV09005242,105,太和,BV11628196,0,普通
976路,976路(竹三村总站--太和总站),太和文化广场,BV09005242,105,太和,BV11628196,0,普通
夜74路,夜74路(太和总站(沙亭岗村)--广州火车东站总站),太和文化广场,BV09005242,105,太和地铁站A口,BV09125840,0,普通
825路,825路(江高总站(大松岗)--广州佐航花都雅瑶恒通汽车站总站),雄丰路口站,BV11688084,266,雄丰街口,BV10389076,1,普通
南沙18路,南沙18路(蕉门地铁(区政府)站--南沙湾总站),金岭南路站,BV10015855,206,金岭北路站,BV10015861,1,普通
南沙49路,南沙49路(大岗公交总站--三姓路站),金岭南路站,BV10015855,206,金岭北路站,BV10015861,1,普通
番141路,番141路(市桥汽车站--江南路站),金岭南路站,BV10015855,206,金岭北路站,BV10015861,1,普通
825路,825路(江高总站(大松岗)--广州佐航花都雅瑶恒通汽车站总站),郭塘站,BV09245330,165,郭塘货场站,BV11688116,1,普通
825路,825路(雅瑶公交总站--江高总站),郭塘,BV09245330,165,郭塘货场站,BV11688116,1,普通
增城39路,增城39路(仙村公交总站--尚东阳光),仙村路口站,BV11690284,158,仙村市场,BV09274992,1,普通
B24路,B24路(车陂总站--黄埔低空经济创新中心总站),车陂南站,BV10014565,152,车陂总站,BV10017165,1,总站
番182路,番182路(沙溪大道东总站--周山岗总站),地铁会江站,BV10023162,136,地铁沙溪站(E1出口),BV11604375,1,普通
541路,541路(恒宝广场总站--汇景新城东总站),白云路站,BV11688476,134,白云路东,BV11687926,1,普通
夜39路,夜39路(恒宝广场总站--科韵路总站),白云路站,BV11688476,134,白云路东,BV11687926,1,普通
广231路,广231路(和顺车站总站--广州火车站(草暖公园)总站),金沙洲路,BV11688450,134,金沙洲大桥西2,BV09010639,1,普通
广277路,广277路(沙面新城总站--西塱社区总站),西塱,BV11687844,134,西塱2,BV09177350,1,普通
503路,503路(天河客运站总站--杨桃公园总站),车陂南,BV10014565,130,车陂公交场,BV11688356,1,普通
广276路,广276路(万科四季花城总站--南洲北路总站),金沙洲路,BV11688450,128,金沙洲路2,BV11329134,1,普通
