physicalStId,涉及合并站,BV站点ID,车来了站名,BV站数,说明
838a8f13f4f048f7ac7a2381d3ada60c,夏茅 / 夏茅总#2,BV11688462 / BV10019542,夏茅,2,总站与非总站混合，不自动合并
216d438ff02d423b84d0c33ecc517b8d,节能科技园 / 节能科技园总,BV10014702 / BV10386996,节能科技园,2,总站与非总站混合，不自动合并
4e3b46b3847b4a91acf960353b8c739a,大石地铁站总 / 地铁大石(新光快速),BV10728326 / BV10020322,大石地铁站总站 / 地铁大石站,2,总站与非总站混合，不自动合并
652464eea9b34ee380d767e76269f45d,大石地铁站总 / 地铁大石(新光快速),BV10728326 / BV10020322,大石地铁站总站 / 地铁大石站,2,总站与非总站混合，不自动合并
f1d46968e93e4d048a1f5dd0a54f28d3,解放北路总站(应元路口) / 解放北路(应元路口),BV10387132 / BV11663428,解放北路（应元路口）总站 / 解放北路（应元路口）,2,总站与非总站混合，不自动合并
286b8f32af1d44a5bcb83185a4c73260,开创大道(科翔路口) / 开创大道总,BV09002104 / BV10018706,开创大道（科翔路口）,2,总站与非总站混合，不自动合并
0972649558294ff0a66728c0bbcf61d4,奥体南路 / 奥体南路总,BV11279578 / BV11388273,奥体南路,2,总站与非总站混合，不自动合并
b7193a38b82244ba812279bb796c0ca2,奥体南路 / 奥体南路总,BV11279578 / BV11388273,奥体南路,2,总站与非总站混合，不自动合并
44a5a36186374643914c54ead9b6c934,华峰路口总 / 华峰路口,BV09097133 / BV09368449,华峰路口总站 / 华峰路口,2,总站与非总站混合，不自动合并
59220f6ef4264f8b94d845e8bc107f97,火村东 / 火村东总,BV10021347 / BV10014162,火村东 / 火村东总站,2,总站与非总站混合，不自动合并
a3aa979d2e754d0d964ce207bc422f1a,荔红路 / 萝岗总,BV09232690 / BV10018576,荔红路（萝岗中医院） / 萝岗总站,2,总站与非总站混合，不自动合并
528b59c5a95b490d87e612fff27365f7,永和开发区 / 永和开发区总,BV10013974 / BV10490938,永和开发区 / 永和开发区总站,2,总站与非总站混合，不自动合并
2a5280eff82f46aa8c225c829d3e81fa,地铁红卫 / 地铁红卫站总,BV10974234 / BV11598269,地铁红卫站 / 地铁红卫站总站,2,总站与非总站混合，不自动合并
54cd78686d094392a853e0090d51cac2,鱼珠码头 / 鱼珠码头总,BV11361606 / BV10018096,鱼珠码头,2,总站与非总站混合，不自动合并
5d38ccb835a44dbfaea0eb2f68926ef0,知识城南总 / 知识城南(凤湖四路),BV11302780 / BV11360164,知识城南总站（地铁何棠下站）,2,总站与非总站混合，不自动合并
70b979f2f9e04ac796f621abcaa00684,联和墟 / 联和墟总,BV11689574 / BV10022293,联和墟 / 联和墟总站,2,总站与非总站混合，不自动合并
5dda6fac78dd4f6ba87ccb9cf53fdde2,云埔一路 / 云埔一路总,BV11379024 / BV10017550,云埔一路,2,总站与非总站混合，不自动合并
8b3c26107f0f41eebae3e485c988e164,裕丰围总 / 地铁裕丰围,BV09245156 / BV09176208,裕丰围总站 / 地铁裕丰围站,2,总站与非总站混合，不自动合并
6f00e77206724c69a30a42620a2acbdb,开创大道(科翔路口) / 开创大道总,BV09002104 / BV10018706,开创大道（科翔路口）,2,总站与非总站混合，不自动合并
57fe713077e7407696e07ae6e6dacf6e,知识城南总 / 知识城南(凤湖四路),BV11302780 / BV11360164,知识城南（凤湖四路）,2,总站与非总站混合，不自动合并
b5ffa54e1f4244699b644b1c60c28a81,珠村 / 珠村总,BV10014557 / BV10016497,珠村 / 珠村1,2,总站与非总站混合，不自动合并
824edd28d2e94d30bceae3ee7d6d6abf,珠村 / 珠村总,BV10014557 / BV10016497,珠村,2,总站与非总站混合，不自动合并
D228CB7E54E3461BB9CD52D8C6C49689,汇彩路 / 汇彩路总,BV11487907 / BV10021328,汇彩路,2,总站与非总站混合，不自动合并
742e4b68e07c41c39bcab9205e81e964,黄埔低空经济创新中心总 / 黄埔低空经济创新中心,BV09400275 / BV09400279,黄埔低空经济创新中心总站,2,总站与非总站混合，不自动合并
79f5200189364c838e4046e90bc7f051,华坑生态村 / 华坑生态村总,BV10021386 / BV10017803,华坑生态村 / 华坑生态村总站,2,总站与非总站混合，不自动合并
1458304712364af390b275f0c2c3ee30,华坑生态村 / 华坑生态村总,BV10021386 / BV10017803,华坑生态村 / 华坑生态村总站,2,总站与非总站混合，不自动合并
d9df808af5bd4855bc4d9f8c935e65ad,小洲 / 小洲总,BV11689633 / BV10022287,小洲 / 小洲总站,2,总站与非总站混合，不自动合并
1f25d563f04b496585422480cbe22917,黄埔低空经济创新中心总 / 黄埔低空经济创新中心,BV09400275 / BV09400279,黄埔低空经济创新中心总站,2,总站与非总站混合，不自动合并
11183BAB875746C9BD82780B3FC3E909,夏园 / 夏园总,BV11687921 / BV10014074,夏园 / 夏园总站,2,总站与非总站混合，不自动合并
40f7889e7c8f4b2fb638930e573d3115,创盈路中 / 创盈路中总,BV09236546 / BV09370049,创盈路中总站,2,总站与非总站混合，不自动合并
b5d2d817122e442bb8e25bf96e351f9a,永和 / 永和总#3,BV11469405 / BV10014093,永和（崇和花园） / 永和（崇和花园）总站,2,总站与非总站混合，不自动合并
