合并站名,站组ID,原始分站名,站点ID,经度,纬度
新塘南站,新塘南,新塘南站,BV09236554,113.599376,23.133484
新塘商会,新塘商会,新塘商会,BV11118935,113.612085,23.13115
新塘地铁站,新塘地铁,新塘地铁站,BV10975770,113.600451,23.134519
新塘大道,新塘大道,新塘大道,BV11143656,113.555995,23.112446
新塘太阳城,新塘太阳城,新塘太阳城站,BV10409985,113.60477,23.124439
新塘广场,新塘广场,新塘广场,BV10015413,113.607936,23.119371
新塘总站,新塘总#1,新塘总站,BV10016922,113.605009,23.119419
新塘总站,新塘总#2,新塘总站,BV10014115,113.623696,23.125021
新塘总站,新塘总#3,新塘总站,BV11581141,113.625702,23.114341
新塘汽车客运总站,新塘汽车客运总,新塘汽车客运总站,BV11622608,113.625425,23.154642
新塘汽车客运站,新塘汽车客运,新塘汽车客运站,BV10014147,113.625699,23.155635
新塘汽车客运站总站,新塘汽车客运站总,新塘汽车客运站总站,BV10885295,113.625435,23.154609
新塘海关,新塘海关,新塘海关,BV11375097,113.598564,23.108619
新塘牛仔城(A),新塘牛仔城(A),新塘牛仔城(A),BV11504203,113.627579,23.123669
新塘牛仔城(A),新塘牛仔城(A),新塘牛仔城,BV11689290,113.628393,23.123882
新塘牛仔城A站,新塘牛仔城,新塘牛仔城A站,BV09064722,113.62755,23.12367
新塘白江地铁站,新塘白江地铁,新塘白江地铁站,BV11454831,113.591508,23.12513
新塘盛世名门总站,新塘盛世名门总,新塘盛世名门总站,BV10741251,113.595156,23.126285
新塘站东,新塘站东,新塘站东,BV09236547,113.605001,23.135749
新塘站公交总站,新塘站公交总,新塘站公交总站,BV09190591,113.597881,23.136161
新塘镇政府,新塘镇政府,新塘镇政府,BV10015416,113.615998,23.121693
新填地,新填地,新填地,BV09136602,113.231817,23.028364
新境,新境,新境,BV10325974,112.981623,23.077743
新天地广场,新天地广场,新天地广场,BV10252216,113.152447,23.200924
新太村,新太村,新太村,BV10017063,113.079901,23.32701
新好景,新好景,新好景站,BV11688080,113.596975,23.124823
新安,新安,新安,BV11627692,113.518585,23.526634
新安路,新安路,新安路,BV11483395,113.555863,23.207032
新安路(摇田河大街口),新安路(摇田河大街口),新安路(摇田河大街口)站,BV11488846,113.554158,23.199189
新安路南,新安路南,新安路南,BV09070813,113.551653,23.192734
新屋,新屋#1,新屋,BV10022146,113.578464,23.272201
新屋,新屋#2,新屋,BV11152744,113.641206,23.698496
